Sliced feature: workclass | Value: ? | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: workclass | Value: Private | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: workclass | Value: Local-gov | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: workclass | Value: Self-emp-inc | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: workclass | Value: State-gov | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: workclass | Value: Self-emp-not-inc | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: workclass | Value: Federal-gov | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: workclass | Value: Never-worked | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: workclass | Value: Without-pay | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: education | Value: HS-grad | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: education | Value: Some-college | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: education | Value: Doctorate | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: education | Value: Bachelors | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: education | Value: 10th | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: education | Value: 9th | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: education | Value: Prof-school | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: education | Value: Masters | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: education | Value: Assoc-voc | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: education | Value: 1st-4th | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: education | Value: 7th-8th | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: education | Value: 5th-6th | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: education | Value: 11th | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: education | Value: Assoc-acdm | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: education | Value: 12th | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: education | Value: Preschool | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: marital-status | Value: Widowed | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: marital-status | Value: Separated | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: marital-status | Value: Married-civ-spouse | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
Sliced feature: marital-status | Value: Never-married | Scores: precision 0.7579666160849773 | recall 0.6306818181818182 | fbeta 0.6884906960716748
